Name,Ticker,Weight
EVERSOURCE ENERGY,ES,0.045469
FIRSTENERGY CORP,FE,0.045466
SOUTHWEST AIRLINES CO,LUV,0.045301
NETAPP INC,NTAP,0.045281
WATERS CORP,WAT,0.045231
EXPEDITORS INTL WASH INC,EXPD,0.045209
ALIGN TECHNOLOGY INC,ALGN,0.044917
TYLER TECHNOLOGIES INC,TYL,0.044880
LAS VEGAS SANDS CORP,LVS,0.044854
BROWN + BROWN INC,BRO,0.044795
HOLOGIC INC,HOLX,0.044463
VERISIGN INC,VRSN,0.044313
REGIONS FINANCIAL CORP,RF,0.043780
FACTSET RESEARCH SYSTEMS INC,FDS,0.043748
CINCINNATI FINANCIAL CORP,CINF,0.043405
AMEREN CORPORATION,AEE,0.043374
AXON ENTERPRISE INC,AXON,0.043370
STEEL DYNAMICS INC,STLD,0.043342
OMNICOM GROUP,OMC,0.043149
HUBBELL INC,HUBB,0.043020
BALL CORP,BALL,0.042913
PRINCIPAL FINANCIAL GROUP,PFG,0.042852
CLOROX COMPANY,CLX,0.042409
SKYWORKS SOLUTIONS INC,SWKS,0.042218
SEAGATE TECHNOLOGY HOLDINGS,STX,0.042133
CENTERPOINT ENERGY INC,CNP,0.041955
JACOBS SOLUTIONS INC,J,0.041382
TERADYNE INC,TER,0.041379
NORTHERN TRUST CORP,NTRS,0.041020
TEXTRON INC,TXT,0.040999
VERALTO CORP,VLTO,0.040931
HUNT (JB) TRANSPRT SVCS INC,JBHT,0.040740
MCCORMICK + CO NON VTG SHRS,MKC,0.040416
EPAM SYSTEMS INC,EPAM,0.040406
ATMOS ENERGY CORP,ATO,0.040332
CMS ENERGY CORP,CMS,0.039765
EVEREST GROUP LTD,EG,0.039585
CARNIVAL CORP,CCL,0.039580
WALGREENS BOOTS ALLIANCE INC,WBA,0.039357
AVERY DENNISON CORP,AVY,0.039197
FIRST SOLAR INC,FSLR,0.038972
JABIL INC,JBL,0.038773
WR BERKLEY CORP,WRB,0.038729
SYNCHRONY FINANCIAL,SYF,0.038418
CITIZENS FINANCIAL GROUP,CFG,0.038398
MID AMERICA APARTMENT COMM,MAA,0.038025
IDEX CORP,IEX,0.037858
TYSON FOODS INC CL A,TSN,0.037287
LAMB WESTON HOLDINGS INC,LW,0.037193
SNAP ON INC,SNA,0.037077
ESSEX PROPERTY TRUST INC,ESS,0.036877
LEIDOS HOLDINGS INC,LDOS,0.036753
PACKAGING CORP OF AMERICA,PKG,0.036161
MASCO CORP,MAS,0.036079
ENPHASE ENERGY INC,ENPH,0.036071
POOL CORP,POOL,0.036030
DOMINO S PIZZA INC,DPZ,0.035982
EQT CORP,EQT,0.035867
CF INDUSTRIES HOLDINGS INC,CF,0.035865
STANLEY BLACK + DECKER INC,SWK,0.034968
ALBEMARLE CORP,ALB,0.034964
CELANESE CORP,CE,0.034899
BEST BUY CO INC,BBY,0.034887
QUEST DIAGNOSTICS INC,DGX,0.034854
KELLANOVA,K,0.034539
VIATRIS INC,VTRS,0.034442
INSULET CORP,PODD,0.034378
CONAGRA BRANDS INC,CAG,0.034206
HOST HOTELS + RESORTS INC,HST,0.033567
KEYCORP,KEY,0.033095
NORDSON CORP,NDSN,0.033095
AMCOR PLC,AMCR,0.032903
UNITED AIRLINES HOLDINGS INC,UAL,0.032737
LOEWS CORP,L,0.032725
JM SMUCKER CO/THE,SJM,0.032542
GEN DIGITAL INC,GEN,0.032402
MARATHON OIL CORP,MRO,0.032327
REVVITY INC,RVTY,0.032261
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.031910
BUNGE GLOBAL SA,BG,0.031655
LKQ CORP,LKQ,0.031115
LIVE NATION ENTERTAINMENT IN,LYV,0.031002
TRIMBLE INC,TRMB,0.030888
INTERNATIONAL PAPER CO,IP,0.030636
INTERPUBLIC GROUP OF COS INC,IPG,0.030382
KIMCO REALTY CORP,KIM,0.030224
JACK HENRY + ASSOCIATES INC,JKHY,0.029750
ROLLINS INC,ROL,0.029713
ALLIANT ENERGY CORP,LNT,0.029693
JUNIPER NETWORKS INC,JNPR,0.028997
NRG ENERGY INC,NRG,0.028726
MGM RESORTS INTERNATIONAL,MGM,0.028639
PENTAIR PLC,PNR,0.028376
TELEFLEX INC,TFX,0.027878
EVERGY INC,EVRG,0.027811
MOLSON COORS BEVERAGE CO   B,TAP,0.027778
INCYTE CORP,INCY,0.027698
BIO TECHNE CORP,TECH,0.027446
UDR INC,UDR,0.027254
AES CORP,AES,0.027064
CHARLES RIVER LABORATORIES,CRL,0.026596
ALLEGION PLC,ALLE,0.026407
F5 INC,FFIV,0.026333
CARMAX INC,KMX,0.026148
CERIDIAN HCM HOLDING INC,CDAY,0.025735
HEALTHPEAK PROPERTIES INC,PEAK,0.025683
GLOBE LIFE INC,GL,0.025564
MOSAIC CO/THE,MOS,0.025543
CAMDEN PROPERTY TRUST,CPT,0.025517
QORVO INC,QRVO,0.025415
WESTROCK CO,WRK,0.025346
MARKETAXESS HOLDINGS INC,MKTX,0.025246
REGENCY CENTERS CORP,REG,0.025048
NISOURCE INC,NI,0.024924
HUNTINGTON INGALLS INDUSTRIE,HII,0.024677
MATCH GROUP INC,MTCH,0.024551
C.H. ROBINSON WORLDWIDE INC,CHRW,0.024406
EASTMAN CHEMICAL CO,EMN,0.024326
BOSTON PROPERTIES INC,BXP,0.024279
