"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"ZYK Enterprises Inc.","","","","$36,000","$0","$36,000","2021","20210319","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Duvall","Washington","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-issues-default-decision-against-zyk-enterprises-inc-dba-s-i-bukhari-waqas-muslim","",""
"Lynch Livestock Inc.","","","","$445,626","$0","$445,626","2021","20210723","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Wacoma","Washington","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-lynch-livestock-inc","",""
"Farmers Stockyards Inc.","","","","$8,000","$0","$8,000","2021","20210616","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Flemingburg","Kentucky","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-farmers-stockyards-inc","",""
"Triple J Family Farms LLC","","","","$15,000","$0","$15,000","2021","20210614","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Buffalo Lake","Minnesota","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-triple-j-family-farms-llc-and-john-derner","",""
"Durant Stockyards LLC","","","","$7,500","$0","$7,500","2021","20211129","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Durant","Oklahoma","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-durant-stockyards-llc-0","",""
"Stardale Farms LLC","","","","$8,000","$0","$8,000","2021","20211126","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Dundee","Ohio","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-act-case-against-stardale-farms-llc-and-kevin","",""
"Ford Rochelle","","","","$14,000","$0","$14,000","2021","20211126","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Nash","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/edmond-shackleford-rochelle-dba-settles-civil-action-brought-united-states-district","",""
"Mezurek Livestock","","","","$7,000","$0","$7,000","2021","20211112","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Grafton","Ohio","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-kenneth-mezurek-dba-mezurek-livestock","",""
"Merlin L. Garver Inc.","","","","$11,000","$0","$11,000","2021","20211110","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Wooster","Ohio","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-merlin-l-garver-inc-and-merlin-jan-garver","",""
"Martin D. Yoder Livestock Ltd.","","","","$11,000","$0","$11,000","2021","20211109","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Kidron","Ohio","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-martin-d-yoder-livestock-ltd","",""
"Patton Junction Livestock Auction Inc.","","","","$14,280","$0","$14,280","2021","20211015","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Sedgewickville","Missouri","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-patton-junction-livestock-auction-inc","",""
"Atlantic Veal & Lamb, LLC","","","","$7,500","$0","$7,500","2022","20220225","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Brooklyn","New York","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-atlantic-veal-lamb-llc","",""
"Sonoran Cattle LLC","","","","$62,500","$0","$62,500","2022","20220307","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Arizona","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-against-daniel-baranzini-carlos-plascencia-and-sonoran","",""
"Halal Packing Inc.","","","","$9,000","$0","$9,000","2022","20220629","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Newton","New Jersey","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-halal-packing-inc","",""
"Fatted Calf Cattle Farms #6","","","","$13,000","$0","$13,000","2022","20220714","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-stephen-smeal-and-mendy-smeal-dba-fatted-calf-cattle","",""
"Walnut Auction Sales, LLC","","","","$5,125","$0","$5,125","2022","20221118","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Dixon","Illinois","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-walnut-auction-sales-llc","",""
"Nacogdoches Livestock Exchange Inc.","","","","$6,625","$0","$6,625","2022","20221005","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Nacogdoches","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-nacogdoches-livestock-exchange-inc","",""
